AccXmin,AccYmin,AccZmin,AccXmax,AccYmax,AccZmax,AccXmean,AccYmean,AccZmean,GyrXmin,GyrYmin,GyrZmin,GyrXmax,GyrYmax,GyrZmax,GyrXmean,GyrYmean,GyrZmean,StartTime,EndTime
0.27,-2.0,-1.56,2.0,-1.06,0.68,1.1260000000000001,-1.7216666666666667,-0.48200000000000015,-179.27,-103.43,-126.21,118.6,172.2,132.02,-16.891999999999996,21.392999999999997,-14.823333333333329,2020-10-07 21:25:34.480018,2020-10-07 21:26:34.454792
0.28,-2.0,-1.51,1.92,-0.79,0.84,0.9843333333333334,-1.693,-0.46266666666666684,-90.35,-163.44,-133.0,208.27,250.13,204.45,30.510333333333335,18.53100000000001,4.710666666666668,2020-10-07 21:26:40.246292,2020-10-07 21:27:36.457781
-1.48,-2.0,-2.0,2.0,1.39,2.0,0.7333333333333335,-1.1643333333333332,-0.12766666666666668,-154.02,-250.14,-109.05,250.13,221.15,118.76,-3.1066666666666674,-22.333333333333332,6.58033333333333,2020-10-07 21:27:40.446966,2020-10-07 21:28:48.459612
-0.8,-2.0,-2.0,2.0,0.89,2.0,0.8023333333333333,-0.7633333333333334,0.08366666666666665,-100.68,-226.79,-65.86,190.92,250.13,145.5,-1.1676666666666695,29.762999999999995,5.359,2020-10-07 21:28:52.455488,2020-10-07 21:29:54.480697
-0.43,-2.0,-2.0,2.0,2.0,1.76,0.945,-0.8386666666666668,0.008999999999999985,-205.78,-250.14,-168.67,174.48,198.21,129.9,-1.7920000000000043,-68.14900000000002,11.611666666666663,2020-10-07 21:29:58.471774,2020-10-07 21:31:00.487873
0.44,-2.0,-0.95,2.0,-1.57,1.48,1.4053333333333335,-1.7993333333333335,-0.09633333333333331,-220.92,-149.11,-179.4,250.13,79.15,131.53,1.498999999999999,-2.8350000000000004,15.023666666666664,2020-10-07 21:31:04.462506,2020-10-17 15:22:57.100437
0.77,-2.0,-0.75,2.0,-1.31,0.69,1.4973333333333336,-1.727666666666667,-0.027999999999999994,-158.95,-91.89,-53.58,230.5,142.34,119.07,49.452666666666666,36.620999999999995,5.737333333333334,2020-10-17 15:23:00.909274,2020-10-17 15:24:00.913068
0.53,-2.0,-0.75,2.0,-0.51,0.49,1.622,-1.5943333333333334,-0.13133333333333333,-250.14,-244.92,-149.11,231.23,96.1,114.96,9.388333333333337,-10.785666666666666,-13.491666666666664,2020-10-17 15:24:05.022797,2020-10-17 15:25:10.905866
0.57,-2.0,-1.38,2.0,-1.16,1.52,1.4989999999999997,-1.7169999999999996,-0.14833333333333334,-193.56,-250.14,-153.06,250.13,111.82,99.41,-2.1803333333333343,-26.99333333333333,-7.445666666666667,2020-10-17 15:25:15.095970,2020-10-17 15:26:18.899243
0.83,-2.0,-1.95,2.0,-1.38,0.54,1.3659999999999997,-1.8316666666666663,0.0036666666666666844,-216.43,-250.14,-142.76,242.25,194.05,118.27,36.69433333333333,10.396333333333336,14.406666666666665,2020-10-17 15:26:23.100191,2020-10-17 15:27:20.899421
0.73,-2.0,-0.8,2.0,-0.94,0.7,1.5730000000000002,-1.7153333333333334,0.027333333333333334,-174.31,-250.14,-180.95,177.08,151.04,76.31,4.693333333333333,-7.146333333333334,5.393,2020-10-17 15:27:25.094845,2020-10-17 15:28:27.094717
0.73,-2.0,-0.7,2.0,-1.07,0.3,1.6366666666666667,-1.7273333333333336,-0.08633333333333333,-156.72,-129.82,-164.15,216.01,143.98,145.5,12.230666666666666,13.672333333333334,15.125666666666666,2020-10-17 15:28:30.964318,2020-10-17 15:29:40.901365
0.46,-2.0,-0.92,2.0,-0.88,1.08,1.2433333333333332,-1.8026666666666669,0.34900000000000003,-224.21,-250.14,-250.14,250.13,250.13,210.85,12.25166666666666,-3.34466666666667,-3.4896666666666665,2020-10-17 15:29:44.914499,2020-10-18 10:10:06.210785
0.82,-2.0,-1.0,2.0,-0.77,1.06,1.2879999999999998,-1.7366666666666668,0.5316666666666666,-177.56,-250.14,-109.02,196.39,229.02,124.44,-17.410333333333327,12.828666666666667,2.0946666666666665,2020-10-18 10:10:10.296065,2020-10-18 10:11:13.267674
0.0,-2.0,-2.0,2.0,0.0,2.0,0.5763333333333333,-1.0013333333333334,0.37999999999999995,-163.07,-175.82,-157.39,211.02,250.13,185.44,-2.897333333333333,12.870666666666667,7.903333333333334,2020-10-18 10:11:16.221484,2020-10-18 10:12:28.238845
0.72,-2.0,0.53,1.51,-1.47,1.27,1.1353333333333333,-1.7263333333333335,0.8656666666666666,-168.37,-248.24,-113.3,122.5,60.89,104.95,-24.265333333333327,-11.526333333333335,7.3036666666666665,2020-10-18 10:12:46.209017,2020-10-18 10:13:44.310291
1.33,-2.0,-0.25,2.0,-1.14,1.12,1.1326666666666663,-1.534333333333333,0.6129999999999999,-202.05,-87.48,-66.08,250.13,250.13,221.13,-5.377999999999999,9.868333333333332,19.369000000000003,2020-10-18 10:13:48.211494,2020-10-18 10:16:36.648247
0.0,-2.0,-1.23,2.0,2.0,2.0,0.8246666666666668,-0.6933333333333334,0.11533333333333334,-250.14,-250.14,-55.23,250.13,250.13,250.13,-5.715333333333334,-30.236666666666665,9.453333333333331,2020-10-18 10:16:40.562322,2020-10-18 10:17:37.577468
0.9,-2.0,-1.47,1.96,-1.63,0.6,1.1983333333333333,-1.4943333333333333,-0.3443333333333333,-250.14,-250.14,-238.58,223.39,250.13,199.75,1.3260000000000014,-15.559666666666665,12.265666666666663,2020-10-18 10:17:41.579333,2020-10-18 11:40:41.560139
0.56,-2.0,-0.9,2.0,-1.34,0.41,1.3893333333333335,-1.8263333333333334,-0.4883333333333334,-145.54,-250.14,-114.08,209.93,250.13,250.13,6.357333333333334,-4.291999999999995,28.00866666666667,2020-10-18 11:40:45.550073,2020-10-18 11:42:05.551415
0.0,-2.0,-1.06,1.6,0.0,0.0,0.382,-0.586,-0.22333333333333336,-250.14,-250.14,-229.54,250.13,150.92,250.13,-15.102333333333336,-5.038666666666666,22.19,2020-10-18 11:42:09.546453,2020-10-18 11:43:07.557233
0.96,-2.0,-1.42,2.0,-1.12,0.95,1.2423333333333333,-1.4516666666666664,-0.04033333333333333,-243.82,-250.14,-125.8,250.13,236.23,250.13,-6.375333333333333,18.322000000000006,25.577666666666673,2020-10-18 11:43:11.552847,2020-10-18 11:44:27.555143
0.68,-2.0,-1.32,2.0,-0.98,1.02,1.515666666666667,-1.8863333333333332,-0.186,-113.44,-181.3,-164.61,164.02,164.49,166.53,-1.3029999999999997,0.05166666666666657,7.335666666666667,2020-10-18 11:44:31.552800,2020-10-18 11:45:43.572536
-1.12,-2.0,-1.23,1.94,0.0,1.06,0.8316666666666667,-1.3363333333333332,-0.42766666666666675,-250.14,-250.14,-250.14,250.13,140.6,250.13,-4.495333333333331,-25.454333333333334,-1.3526666666666642,2020-10-18 11:45:47.554680,2020-10-18 11:46:45.566692
0.64,-1.99,-0.45,2.0,-0.6,1.15,0.5396666666666666,-0.5996666666666667,0.067,-116.76,-250.14,-42.76,111.46,122.2,172.1,10.054666666666668,-0.5626666666666666,3.4530000000000003,2020-10-18 11:49:55.554399,2020-10-18 19:14:26.837247
0.62,-2.0,-2.0,2.0,-0.77,0.28,1.4336666666666669,-1.7123333333333335,-0.31166666666666665,-250.14,-107.53,-189.12,181.09,250.13,102.37,9.391000000000002,18.861333333333334,-32.273,2020-10-18 19:14:30.838730,2020-10-18 19:15:28.837781
0.78,-2.0,-1.82,2.0,-0.66,0.27,1.509666666666667,-1.7156666666666667,-0.23733333333333337,-250.14,-250.14,-240.28,250.13,250.13,179.33,7.529666666666666,-20.487,-5.742666666666669,2020-10-18 19:15:32.963883,2020-10-18 19:16:32.840112
0.26,-2.0,-1.02,2.0,-1.22,2.0,1.4933333333333334,-1.766333333333333,0.023,-250.14,-250.14,-250.14,250.13,250.13,190.94,24.38,-0.7573333333333266,-1.923333333333334,2020-10-18 19:16:36.832559,2020-10-18 19:17:38.841447
0.67,-2.0,-1.7,2.0,-0.73,1.25,1.471,-1.8559999999999997,-0.1673333333333333,-250.14,-250.14,-233.27,250.13,250.13,178.21,15.265333333333329,-22.898333333333333,-17.817,2020-10-18 19:17:43.022970,2020-10-18 19:18:40.832199
0.0,-2.0,-1.58,2.0,0.25,0.42,1.1283333333333334,-1.4313333333333336,-0.4536666666666668,-250.14,-250.14,-233.33,250.13,171.94,100.18,36.31499999999999,-17.456666666666663,-35.023666666666664,2020-10-18 19:18:44.840654,2020-10-18 19:19:44.837711
